card_id,date_key,product_key,country_card_key,country_merchant_key,mcg_key,eligible_transactions,eligible_amount,theoretical_cashback,final_cashback,savings_due_to_cap,cap_status
11003237,202405,2,4,10,2,1,79.5,5.57,2.9,2.66,Con Tope Aplicado
95841098,202405,2,4,11,8,1,245.9,17.21,5.55,11.66,Con Tope Aplicado
45343297,202405,2,4,13,3,1,327.2,22.9,7.21,15.7,Con Tope Aplicado
42237071,202405,3,4,1,4,1,315.8,22.11,6.66,15.45,Con Tope Aplicado
14229301,202405,1,4,3,2,1,150.1,10.51,10.51,0.0,Dentro del Tope
17961748,202405,1,4,3,4,1,161.3,11.29,11.29,0.0,Dentro del Tope
60598810,202405,3,4,7,5,1,182.3,12.76,3.54,9.22,Con Tope Aplicado
11755231,202405,3,4,5,1,1,133.9,9.37,2.26,7.12,Con Tope Aplicado
33399284,202405,1,4,5,2,1,177.4,12.42,6.95,5.47,Con Tope Aplicado
47446884,202405,1,4,11,3,1,120.8,8.46,5.58,2.88,Con Tope Aplicado
49703773,202405,2,4,1,23,1,171.2,11.98,5.86,6.12,Con Tope Aplicado
68430938,202405,5,4,3,2,1,2632.4,184.27,13.91,170.36,Con Tope Aplicado
14694906,202405,1,4,3,1,2,158.0,11.06,11.06,0.0,Dentro del Tope
25791982,202405,2,4,1,1,1,124.4,8.71,5.6,3.11,Con Tope Aplicado
12901704,202405,3,4,9,4,1,280.5,19.64,4.49,15.14,Con Tope Aplicado
23194212,202405,3,4,1,7,1,293.4,20.54,7.82,12.72,Con Tope Aplicado
43195790,202405,2,4,5,1,1,179.6,12.57,9.07,3.5,Con Tope Aplicado
43124061,202405,1,4,9,5,1,42.8,3.0,2.81,0.19,Con Tope Aplicado
27493149,202405,1,4,16,14,1,58.5,4.1,2.4,1.69,Con Tope Aplicado
52361462,202405,5,4,3,2,2,2568.0,179.76,9.4,170.36,Con Tope Aplicado
91480843,202405,4,4,11,3,1,517.1,36.2,5.79,30.41,Con Tope Aplicado
16579944,202405,2,4,11,3,1,141.8,9.93,5.84,4.09,Con Tope Aplicado
17866874,202405,1,4,5,4,1,25.1,1.76,1.64,0.12,Con Tope Aplicado
24206215,202405,1,4,3,1,1,96.8,6.78,6.78,0.0,Dentro del Tope
49398307,202405,2,4,11,6,1,122.5,8.58,5.47,3.1,Con Tope Aplicado
62410547,202405,3,4,13,1,1,95.4,6.68,6.68,0.0,Dentro del Tope
60985868,202405,3,4,11,2,1,519.7,36.38,18.09,18.29,Con Tope Aplicado
77076552,202405,1,4,11,2,1,41.5,2.91,2.66,0.25,Con Tope Aplicado
40037195,202405,5,4,5,2,1,1159.5,81.17,7.52,73.64,Con Tope Aplicado
98345417,202405,1,4,13,3,1,42.0,2.94,2.94,0.0,Dentro del Tope
19374725,202405,4,4,5,2,1,364.7,25.53,2.13,23.4,Con Tope Aplicado
99957043,202405,1,4,7,6,1,22.0,1.54,1.54,0.0,Dentro del Tope
71124159,202405,3,4,3,1,1,152.7,10.69,7.38,3.31,Con Tope Aplicado
98054513,202405,4,4,3,9,1,269.0,18.83,2.5,16.33,Con Tope Aplicado
86630958,202405,1,4,11,1,2,257.6,18.03,12.16,5.87,Con Tope Aplicado
21041376,202405,3,4,11,3,1,71.5,5.01,1.18,3.83,Con Tope Aplicado
88230683,202405,1,4,5,1,1,25.6,1.79,1.67,0.13,Con Tope Aplicado
84006595,202405,4,4,11,14,1,156.6,10.96,1.93,9.03,Con Tope Aplicado
94242853,202405,3,4,3,3,1,304.3,21.3,5.36,15.94,Con Tope Aplicado
73143516,202405,2,4,3,4,2,248.3,17.38,12.84,4.54,Con Tope Aplicado
20144782,202405,4,4,5,2,1,1913.5,133.95,20.37,113.57,Con Tope Aplicado
90163218,202405,2,4,1,8,1,128.5,9.0,4.87,4.12,Con Tope Aplicado
17260040,202405,1,4,3,1,2,108.5,7.6,7.59,0.0,Dentro del Tope
61756831,202405,1,4,15,7,1,157.4,11.02,11.02,0.0,Dentro del Tope
95766996,202405,3,4,11,7,1,347.6,24.33,11.66,12.67,Con Tope Aplicado
93127908,202405,2,4,15,1,1,133.5,9.35,7.71,1.63,Con Tope Aplicado
10796698,202405,5,4,6,1,2,3991.9,279.43,25.71,253.73,Con Tope Aplicado
94463206,202405,2,4,3,1,2,562.4,39.37,17.75,21.62,Con Tope Aplicado
73818204,202405,3,4,1,6,1,334.0,23.38,10.29,13.09,Con Tope Aplicado
96083292,202405,1,4,3,5,1,155.7,10.9,9.09,1.81,Con Tope Aplicado
22673692,202405,2,4,3,5,1,58.2,4.07,2.79,1.28,Con Tope Aplicado
85902481,202405,2,4,11,1,1,473.5,33.15,13.59,19.55,Con Tope Aplicado
16023876,202405,2,4,1,3,1,74.9,5.24,3.48,1.76,Con Tope Aplicado
74349432,202405,2,4,5,7,1,7.8,0.55,0.37,0.17,Con Tope Aplicado
97301148,202405,4,4,3,12,1,529.1,37.04,29.15,7.89,Con Tope Aplicado
88494063,202405,2,4,3,1,1,96.2,6.73,3.49,3.25,Con Tope Aplicado
35980266,202405,2,4,3,8,1,49.9,3.49,1.66,1.84,Con Tope Aplicado
40894583,202405,1,4,15,5,1,196.6,13.76,9.68,4.08,Con Tope Aplicado
56681611,202405,2,4,5,13,1,223.9,15.67,8.1,7.57,Con Tope Aplicado
82013983,202405,2,4,12,2,1,139.1,9.74,5.33,4.41,Con Tope Aplicado
89159825,202405,3,4,3,4,1,139.4,9.76,3.77,5.99,Con Tope Aplicado
81390665,202405,3,4,11,2,1,316.0,22.12,7.97,14.15,Con Tope Aplicado
35486713,202405,5,4,11,3,1,504.4,35.31,3.31,32.0,Con Tope Aplicado
80500122,202405,2,4,3,10,1,241.6,16.91,16.91,0.0,Dentro del Tope
